"track_name","artist(s)_name","artist_count","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_deezer_charts","bpm","danceability_%","valence_%","energy_%","acousticness_%","instrumentalness_%","liveness_%","speechiness_%"
"Mine (Taylor's Version)","Taylor Swift","1","99","15","36912123","21","1","121","65","49","78","0","0","17","4"
"Everybody Wants To Rule The World","Tears For Fears","1","41751","25","1205951614","101","0","112","64","54","81","36","0","11","6"
"No Role Modelz","J. Cole","1","21164","36","1791000570","80","0","100","70","47","52","30","0","6","33"
"Tattoo","Loreen","1","2988","59","201660859","74","18","150","55","30","78","24","0","12","8"
"Rara Vez","Taiu, Milo j","2","893","38","248088961","19","3","120","84","96","71","18","0","34","17"
"VAGABUNDO","Sebastian Yatra, Manuel Turizo, Be��","3","1094","34","90839753","40","8","127","82","89","85","4","0","23","6"
"august","Taylor Swift","1","7324","22","607123776","25","1","90","51","42","61","53","0","9","3"
"LUNA","Junior H, Peso Pluma","2","201","11","55842345","19","1","128","75","79","63","33","0","15","4"
"Miracle (with Ellie Goulding)","Calvin Harris, Ellie Goulding","2","5120","48","211050784","161","9","143","64","31","87","4","4","8","4"
"Nonsense","Sabrina Carpenter","1","2346","27","342897938","69","8","139","74","68","68","3","0","26","4"
"Que Vuelvas","Carin Leon, Grupo Frontera","2","763","26","2762","21","9","162","49","78","64","19","0","11","4"
"Por las Noches","Peso Pluma","1","457","24","330346424","8","3","92","81","39","60","31","0","7","3"
"Feliz Cumplea��os Fe","Feid","1","3430","38","601863821","45","4","95","87","57","55","10","0","29","7"
"Can't Hold Us (feat. Ray Dalton)","Ray Dalton, Ryan Lewis, Macklemore","3","6074","52","1953533826","201","2","146","63","88","93","3","0","10","8"
"Watermelon Sugar","Harry Styles","1","21915","34","2322580122","437","12","95","55","56","82","12","0","34","5"
"lovely - Bonus Track","Billie Eilish, Khalid","2","15032","30","2355719893","221","2","115","35","12","30","93","0","10","3"
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap","2","871","32","66902503","25","5","128","78","59","65","10","0","26","5"
"Queencard","(G)I-DLE","1","451","33","96273746","10","0","130","82","69","83","3","0","27","5"
"OMG","NewJeans","1","1783","27","430977451","26","1","127","80","74","77","36","0","11","4"
"Radio","Lana Del Rey","1","9389","46","284819874","24","3","150","42","20","86","21","0","9","9"
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap","2","5724","44","721975598","119","29","122","78","50","63","27","0","9","5"
"505","Arctic Monkeys","1","13985","25","1217120710","30","1","140","52","20","85","0","0","7","5"
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV","4","1051","16","109276132","31","0","140","63","22","54","46","0","12","8"
"Trance (with Travis Scott & Young Thug)","Travis Scott, Young Thug, Metro Boomin","3","1682","46","276259178","24","1","119","75","48","53","18","0","18","34"
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain","5","182","8","54225632","3","0","110","76","96","72","32","0","9","4"
